Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,SizeGp,FarePerPers,Notable
0,3,male,28.5,0,0,7.2292,C,F,1,7.2292,0
1,2,female,5.0,1,2,27.75,S,F,3,9.25,0
0,3,male,11.0,5,2,46.9,S,F,6,7.816666666666666,0
0,3,male,22.0,0,0,7.2292,C,E,1,7.2292,0
1,1,female,38.0,0,0,80.0,S,B,2,40.0,0
0,1,male,45.0,1,0,83.475,S,C,2,41.7375,0
0,3,male,4.0,3,2,27.9,S,G,6,4.6499999999999995,0
0,1,male,39.0,0,0,27.7208,C,B,1,27.7208,0
1,3,male,15.0,1,1,15.2458,C,F,2,7.6229,0
1,2,female,29.0,0,0,10.5,S,F,1,10.5,0
0,3,male,19.0,0,0,8.1583,S,G,1,8.1583,0
1,3,female,17.0,4,2,7.925,S,G,1,7.925,0
0,3,male,26.0,2,0,8.6625,S,F,1,8.6625,0
0,2,male,32.0,0,0,10.5,S,E,1,10.5,0
0,3,female,16.0,5,2,46.9,S,E,6,7.816666666666666,0
0,2,male,21.0,0,0,73.5,S,D,5,14.7,0
0,3,male,26.0,1,0,14.4542,C,G,1,14.4542,0
1,3,male,32.0,0,0,56.4958,S,E,7,8.070828571428573,0
0,3,male,25.0,0,0,7.65,S,F,1,7.65,0
0,3,male,36.0,0,0,7.8958,S,F,1,7.8958,0
0,3,male,22.0,0,0,8.05,S,F,1,8.05,0
1,2,male,0.83,0,2,29.0,S,F,2,14.5,0
1,3,female,30.0,0,0,12.475,S,E,2,6.2375,0
0,3,male,22.0,0,0,9.0,S,G,1,9.0,0
1,3,male,29.0,0,0,9.5,S,F,1,9.5,0
1,3,female,17.0,0,0,7.7875,Q,G,1,7.7875,0
0,1,male,28.0,0,0,47.1,S,B,1,47.1,0
1,2,female,17.0,0,0,10.5,S,D,1,10.5,0
1,3,female,33.0,3,0,15.85,S,E,2,7.925,0
0,3,male,16.0,1,3,34.375,S,F,4,8.59375,0
0,3,male,23.0,0,0,8.05,S,G,1,8.05,0
1,1,female,23.0,3,2,263.0,S,C,4,65.75,0
0,3,male,24.0,0,0,8.05,S,F,1,8.05,0
0,3,male,29.0,0,0,8.05,S,F,1,8.05,0
0,3,male,20.0,0,0,7.8542,S,F,1,7.8542,0
0,1,male,46.0,1,0,61.175,S,E,1,61.175,0
0,3,male,26.0,1,2,20.575,S,F,2,10.2875,0
0,3,male,59.0,0,0,7.25,S,F,1,7.25,0
0,3,male,13.0,0,0,8.05,S,F,1,8.05,0
0,1,male,71.0,0,0,34.6542,C,A,1,34.6542,0
1,1,male,23.0,0,1,63.3583,C,D,1,63.3583,0
1,2,female,34.0,0,1,23.0,S,D,2,11.5,0
0,2,male,34.0,1,0,26.0,S,D,2,13.0,0
0,3,female,28.0,0,0,7.8958,S,F,1,7.8958,0
0,3,male,21.0,0,0,7.8958,S,G,1,7.8958,0
0,1,male,21.0,0,1,77.2875,S,D,2,38.64375,0
0,3,male,33.0,0,0,8.6542,S,E,1,8.6542,0
0,3,male,37.0,2,0,7.925,S,G,1,7.925,0
0,3,male,28.0,0,0,7.8958,S,E,1,7.8958,0
1,3,female,21.0,0,0,7.65,S,F,1,7.65,0
1,3,male,21.0,0,0,7.775,S,F,1,7.775,0
0,3,male,38.0,0,0,7.8958,S,G,1,7.8958,0
1,3,female,8.0,1,0,24.15,Q,F,3,8.049999999999999,0
0,1,male,47.0,0,0,52.0,S,C,2,26.0,0
0,3,female,14.5,1,0,14.4542,C,G,2,7.2271,0
0,3,male,22.0,0,0,8.05,S,E,1,8.05,0
0,3,female,20.0,1,0,9.825,S,G,1,9.825,0
0,3,female,17.0,0,0,14.4583,C,G,2,7.22915,0
0,3,male,21.0,0,0,7.925,S,F,1,7.925,0
0,3,male,70.5,0,0,7.75,Q,G,1,7.75,0
0,2,male,29.0,1,0,21.0,S,F,2,10.5,0
0,1,male,24.0,0,1,247.5208,C,B,2,123.7604,0
0,3,female,2.0,4,2,31.275,S,G,7,4.4678571428571425,0
0,2,male,21.0,2,0,73.5,S,E,5,14.7,0
0,3,male,31.0,0,0,8.05,S,G,1,8.05,0
0,2,male,32.5,1,0,30.0708,C,E,2,15.0354,0
1,2,female,32.5,0,0,13.0,S,E,1,13.0,0
0,1,male,54.0,0,1,77.2875,S,D,2,38.64375,0
1,3,male,12.0,1,0,11.2417,C,G,2,5.62085,0
0,3,male,45.0,0,0,7.75,Q,G,1,7.75,0
1,3,male,24.0,0,0,7.1417,S,G,1,7.1417,0
1,3,female,16.0,1,1,22.3583,C,F,2,11.17915,0
0,3,male,45.0,0,0,6.975,S,G,1,6.975,0
0,3,male,33.0,0,0,7.8958,C,E,1,7.8958,0
0,3,male,20.0,0,0,7.05,S,F,1,7.05,0
0,3,female,47.0,1,0,14.5,S,F,1,14.5,0
1,2,female,29.0,1,0,26.0,S,E,1,26.0,0
0,2,male,25.0,0,0,13.0,S,F,1,13.0,0
0,2,male,23.0,0,0,15.0458,C,F,1,15.0458,0
1,1,female,19.0,0,2,26.2833,S,D,1,26.2833,0
0,1,male,37.0,1,0,53.1,S,C,2,26.55,0
0,3,male,16.0,0,0,9.2167,S,F,2,4.60835,0
0,1,male,24.0,0,0,79.2,C,B,2,39.6,0
0,3,female,37.0,0,2,15.2458,C,F,2,7.6229,0
1,3,female,22.0,0,0,7.75,S,G,1,7.75,0
1,3,female,24.0,1,0,15.85,S,F,2,7.925,0
0,3,male,19.0,0,0,6.75,Q,E,1,6.75,0
0,2,male,18.0,0,0,11.5,S,E,1,11.5,0
0,2,male,19.0,1,1,36.75,S,F,2,18.375,0
1,3,male,27.0,0,0,7.7958,S,E,1,7.7958,0
0,3,female,9.0,2,2,34.375,S,G,4,8.59375,0
0,2,male,36.5,0,2,26.0,S,F,3,8.666666666666666,0
0,2,male,42.0,0,0,13.0,S,F,1,13.0,1
0,2,male,51.0,0,0,12.525,S,E,1,12.525,1
1,1,female,22.0,1,0,66.6,S,C,2,33.3,0
0,3,male,55.5,0,0,8.05,S,F,1,8.05,0
0,3,male,40.5,0,2,14.5,S,F,1,14.5,0
0,3,male,4.0,0,0,7.3125,S,F,1,7.3125,0
0,1,male,51.0,0,1,61.3792,C,C,1,61.3792,0
1,3,female,16.0,0,0,7.7333,Q,G,1,7.7333,0
0,3,male,30.0,0,0,8.05,S,G,1,8.05,0
0,3,male,26.0,0,0,8.6625,S,F,1,8.6625,0
0,3,male,4.0,8,2,69.55,S,F,7,9.935714285714285,0
0,3,male,44.0,0,1,16.1,S,G,1,16.1,0
1,2,female,40.0,0,0,15.75,S,E,1,15.75,0
0,3,male,26.0,0,0,7.775,S,E,1,7.775,0
0,3,male,17.0,0,0,8.6625,S,E,1,8.6625,0
0,3,male,1.0,4,1,39.6875,S,G,6,6.614583333333333,0
1,3,male,9.0,0,2,20.525,S,F,3,6.841666666666666,0
1,1,female,51.0,0,1,55.0,S,E,2,27.5,0
0,3,female,45.0,1,4,27.9,S,F,6,4.6499999999999995,0
0,1,male,80.0,0,0,25.925,S,C,1,25.925,0
0,3,male,28.0,0,0,56.4958,S,G,7,8.070828571428573,0
0,1,male,61.0,0,0,33.5,S,B,1,33.5,0
0,3,male,4.0,4,1,29.125,Q,G,5,5.825,0
1,3,female,1.0,1,1,11.1333,S,E,3,3.7111,0
0,3,male,21.0,0,0,7.925,S,G,1,7.925,0
0,1,male,56.0,0,0,30.6958,C,A,1,30.6958,0
0,3,male,18.0,1,1,7.8542,S,G,1,7.8542,0
0,3,male,4.0,3,1,25.4667,S,E,4,6.366675,0
0,1,female,50.0,0,0,28.7125,C,C,1,28.7125,0
0,2,male,30.0,0,0,13.0,S,F,1,13.0,0
0,3,male,36.0,0,0,0.0,S,G,4,0.0,0
0,3,female,14.5,8,2,69.55,S,F,7,9.935714285714285,0
0,2,male,31.0,0,0,15.05,C,D,1,15.05,0
0,3,male,9.0,4,2,31.3875,S,G,4,7.846875,0
1,2,male,1.0,2,1,39.0,S,F,2,19.5,0
1,3,female,4.0,0,2,22.025,S,E,1,22.025,0
0,1,male,51.0,0,0,50.0,S,A,1,50.0,0
1,3,female,25.0,1,0,15.5,Q,F,2,7.75,0
1,1,male,45.0,0,0,26.55,S,B,1,26.55,0
0,3,male,40.0,1,1,15.5,Q,E,2,7.75,0
0,3,male,36.0,0,0,7.8958,S,G,1,7.8958,0
1,2,female,32.0,0,0,13.0,S,F,1,13.0,0
0,2,male,19.0,0,0,13.0,S,D,1,13.0,0
1,3,female,19.0,1,0,7.8542,S,G,1,7.8542,0
1,2,male,3.0,1,1,26.0,S,F,3,8.666666666666666,0
1,1,female,44.0,0,0,27.7208,C,B,1,27.7208,0
1,1,female,58.0,0,0,146.5208,C,B,2,73.2604,0
0,3,male,11.0,0,0,7.75,Q,F,1,7.75,0
0,3,male,42.0,0,1,8.4042,S,G,1,8.4042,0
1,3,female,16.0,0,0,7.75,Q,F,1,7.75,0
0,2,female,24.0,0,0,13.0,S,F,1,13.0,0
0,3,male,28.0,0,0,9.5,S,E,1,9.5,0
0,3,male,32.0,8,2,69.55,S,F,7,9.935714285714285,0
0,3,male,34.0,0,0,6.4958,S,F,1,6.4958,0
0,3,male,45.5,0,0,7.225,C,F,1,7.225,0
1,3,male,18.0,0,0,8.05,S,E,1,8.05,0
0,3,female,2.0,0,1,10.4625,S,G,2,5.23125,0
0,3,male,32.0,1,0,15.85,S,F,2,7.925,0
1,3,male,26.0,0,0,18.7875,C,E,2,9.39375,0
1,3,female,16.0,0,0,7.75,Q,G,1,7.75,0
1,1,male,40.0,0,0,31.0,C,A,1,31.0,0
0,3,male,24.0,0,0,7.05,S,G,1,7.05,0
1,2,female,35.0,0,0,21.0,S,D,1,21.0,0
0,3,male,22.0,0,0,7.25,S,G,1,7.25,0
0,2,male,30.0,0,0,13.0,S,E,1,13.0,0
0,3,male,16.0,1,0,7.75,Q,E,1,7.75,0
1,1,female,31.0,1,0,113.275,C,D,3,37.75833333333333,0
1,3,female,27.0,0,0,7.925,S,E,1,7.925,0
0,2,male,42.0,1,0,27.0,S,E,2,13.5,0
1,1,female,32.0,0,0,76.2917,C,D,1,76.2917,0
0,2,male,30.0,0,0,10.5,S,E,1,10.5,0
1,3,male,16.0,0,0,8.05,S,G,1,8.05,0
0,2,male,27.0,0,0,13.0,S,F,1,13.0,0
0,3,male,51.0,0,0,8.05,S,G,1,8.05,0
0,3,male,25.0,0,0,7.8958,S,F,1,7.8958,0
1,1,male,38.0,1,0,90.0,S,C,2,45.0,0
0,3,male,22.0,0,0,9.35,S,E,1,9.35,0
1,2,male,19.0,0,0,10.5,S,E,1,10.5,0
0,3,male,20.5,0,0,7.25,S,F,1,7.25,0
0,2,male,18.0,0,0,13.0,S,E,1,13.0,0
0,3,female,4.0,3,1,25.4667,S,G,4,6.366675,0
1,1,female,35.0,1,0,83.475,S,C,2,41.7375,0
0,3,male,29.0,0,0,7.775,S,F,1,7.775,0
0,2,male,59.0,0,0,13.5,S,F,1,13.5,0
1,3,female,5.0,4,2,31.3875,S,E,4,7.846875,0
0,2,male,24.0,0,0,10.5,S,E,1,10.5,0
0,3,female,15.0,0,0,7.55,S,G,1,7.55,0
0,2,male,44.0,1,0,26.0,S,D,1,26.0,0
1,2,female,8.0,0,2,26.25,S,E,3,8.75,0
0,2,male,19.0,0,0,10.5,S,E,1,10.5,0
0,2,male,33.0,0,0,12.275,S,E,1,12.275,0
0,3,female,1.0,1,0,14.4542,C,G,2,7.2271,0
1,3,female,2.0,1,0,15.5,Q,F,2,7.75,0
0,2,male,29.0,0,0,10.5,S,E,1,10.5,0
0,3,male,22.0,0,0,7.125,S,E,1,7.125,0
0,3,male,30.0,0,0,7.225,C,F,1,7.225,0
0,1,male,44.0,2,0,90.0,Q,C,2,45.0,1
0,3,female,25.0,0,0,7.775,S,G,1,7.775,0
1,2,female,24.0,0,2,14.5,S,E,2,7.25,0
1,1,male,37.0,1,1,52.5542,S,D,2,26.2771,0
0,2,male,54.0,1,0,26.0,S,E,2,13.0,1
0,3,male,30.0,0,0,7.25,S,F,1,7.25,0
0,3,female,29.0,1,1,10.4625,S,G,2,5.23125,0
0,1,male,62.0,0,0,26.55,S,C,1,26.55,0
0,3,male,30.0,1,0,16.1,S,F,2,8.05,0
0,3,female,41.0,0,2,20.2125,S,E,2,10.10625,0
1,3,female,29.0,0,2,15.2458,C,F,1,15.2458,0
1,1,female,40.0,0,0,79.2,C,A,1,79.2,0
1,1,female,30.0,0,0,86.5,S,B,3,28.833333333333332,0
1,1,female,35.0,0,0,512.3292,C,B,3,170.7764,0
1,2,female,50.0,0,1,26.0,S,F,2,13.0,0
0,3,male,4.0,0,0,7.75,Q,G,1,7.75,0
1,3,male,3.0,4,2,31.3875,S,F,4,7.846875,0
0,1,male,52.0,1,1,79.65,S,E,3,26.55,0
0,1,male,40.0,0,0,0.0,S,B,1,0.0,0
0,3,female,11.0,0,0,7.75,Q,G,1,7.75,0
0,2,male,36.0,0,0,10.5,S,F,1,10.5,0
0,3,male,16.0,4,1,39.6875,S,G,6,6.614583333333333,0
1,3,male,25.0,1,0,7.775,S,F,1,7.775,0
1,1,female,58.0,0,1,153.4625,S,C,3,51.15416666666667,0
1,1,female,35.0,0,0,135.6333,S,C,3,45.211099999999995,0
0,1,male,25.0,0,0,31.0,S,C,2,15.5,0
1,3,male,25.0,0,0,0.0,S,G,4,0.0,0
1,2,female,41.0,0,1,19.5,S,F,2,9.75,0
0,1,male,37.0,0,1,29.7,C,C,1,29.7,0
1,3,female,9.0,0,0,7.75,Q,F,1,7.75,0
1,1,female,63.0,1,0,77.9583,S,D,3,25.986099999999997,0
0,3,female,45.0,0,0,7.75,S,G,1,7.75,0
0,2,male,59.0,0,0,0.0,S,E,3,0.0,0
0,3,male,7.0,4,1,29.125,Q,E,5,5.825,0
1,3,female,35.0,1,1,20.25,S,F,2,10.125,0
0,3,male,65.0,0,0,7.75,Q,G,1,7.75,0
0,3,male,28.0,0,0,7.8542,S,G,1,7.8542,0
0,3,male,16.0,0,0,9.5,S,E,1,9.5,0
1,3,male,19.0,0,0,8.05,S,F,1,8.05,0
0,1,male,24.0,0,0,26.0,S,A,1,26.0,0
0,3,male,33.0,0,0,8.6625,C,E,1,8.6625,0
1,3,male,30.0,0,0,9.5,S,E,1,9.5,0
0,3,male,22.0,0,0,7.8958,S,G,1,7.8958,0
1,2,male,42.0,0,0,13.0,S,F,1,13.0,0
1,3,female,22.0,0,0,7.75,Q,E,1,7.75,0
1,1,female,26.0,0,0,78.85,S,C,2,39.425,0
1,1,female,19.0,1,0,91.0792,C,B,2,45.5396,0
0,2,male,36.0,0,0,12.875,C,D,1,12.875,0
0,3,female,24.0,0,0,8.85,S,E,1,8.85,0
0,3,male,24.0,0,0,7.8958,S,F,1,7.8958,0
0,1,male,56.0,0,0,27.7208,C,B,1,27.7208,0
0,3,male,23.5,0,0,7.2292,C,E,1,7.2292,0
0,1,female,2.0,1,2,151.55,S,C,4,37.8875,0
1,1,male,49.0,0,0,30.5,S,C,1,30.5,0
1,1,female,50.0,0,1,247.5208,C,B,2,123.7604,0
1,3,female,9.0,0,0,7.75,Q,F,1,7.75,0
1,3,male,33.0,2,0,23.25,Q,G,2,11.625,0
0,3,male,19.0,0,0,0.0,S,G,4,0.0,0
1,2,female,17.0,0,0,12.35,Q,E,1,12.35,0
0,3,male,32.0,0,0,8.05,S,E,1,8.05,0
1,1,male,0.92,1,2,151.55,S,C,4,37.8875,0
1,1,female,14.0,0,0,110.8833,C,C,4,27.720825,0
1,1,female,17.0,1,0,108.9,C,C,2,54.45,0
0,2,male,30.0,1,0,24.0,C,E,2,12.0,0
1,1,female,30.0,0,0,56.9292,C,E,2,28.4646,0
1,1,female,24.0,0,0,83.1583,C,C,2,41.57915,0
1,1,female,18.0,2,2,262.375,C,B,2,131.1875,0
0,2,female,26.0,1,1,26.0,S,F,1,26.0,0
0,3,male,28.0,0,0,7.8958,S,E,1,7.8958,0
0,2,male,43.0,1,1,26.25,S,F,3,8.75,0
1,3,female,26.0,0,0,7.8542,S,F,1,7.8542,0
1,2,female,24.0,1,0,26.0,S,E,2,13.0,0
0,2,male,54.0,0,0,14.0,S,D,1,14.0,1
1,1,female,31.0,0,2,164.8667,S,C,2,82.43335,0
1,1,female,40.0,1,1,134.5,C,E,2,67.25,0
0,3,male,22.0,0,0,7.25,S,F,1,7.25,0
0,3,male,27.0,0,0,7.8958,S,F,1,7.8958,0
1,2,female,30.0,0,0,12.35,Q,F,1,12.35,0
1,2,female,22.0,1,1,29.0,S,F,2,14.5,0
0,3,male,20.0,8,2,69.55,S,F,7,9.935714285714285,0
1,1,female,36.0,0,0,135.6333,C,C,3,45.211099999999995,0
0,3,male,61.0,0,0,6.2375,S,E,1,6.2375,0
1,2,female,36.0,0,0,13.0,S,D,1,13.0,0
1,3,female,31.0,1,1,20.525,S,F,3,6.841666666666666,0
1,1,female,16.0,0,1,57.9792,C,B,2,28.9896,0
1,3,female,16.0,2,0,23.25,Q,F,2,11.625,0
0,1,male,45.5,0,0,28.5,S,C,1,28.5,0
0,1,male,38.0,0,1,153.4625,S,C,3,51.15416666666667,0
0,3,male,16.0,2,0,18.0,S,F,2,9.0,0
1,1,female,64.0,1,0,133.65,S,E,2,66.825,0
0,3,male,70.5,0,0,7.8958,S,F,1,7.8958,0
0,1,male,29.0,1,0,66.6,S,C,2,33.3,0
1,1,female,41.0,0,0,134.5,C,E,2,67.25,0
1,3,male,45.0,0,0,8.05,S,F,1,8.05,0
0,1,male,45.0,0,0,35.5,S,T,1,35.5,0
1,2,male,2.0,1,1,26.0,S,F,3,8.666666666666666,0
1,1,female,24.0,3,2,263.0,S,C,4,65.75,0
0,2,male,28.0,0,0,13.0,S,F,1,13.0,0
0,2,male,25.0,0,0,13.0,S,E,1,13.0,0
0,2,male,36.0,0,0,13.0,S,D,1,13.0,0
1,2,female,24.0,0,0,13.0,S,F,1,13.0,0
1,2,female,40.0,0,0,13.0,S,F,1,13.0,0
1,3,female,24.0,1,0,16.1,S,F,1,16.1,0
1,3,male,3.0,1,1,15.9,S,F,2,7.95,0
0,3,male,42.0,0,0,8.6625,S,G,1,8.6625,0
0,3,male,23.0,0,0,9.225,S,G,1,9.225,0
0,1,male,47.0,0,0,35.0,S,C,1,35.0,0
0,3,male,15.0,1,1,7.2292,C,G,1,7.2292,0
0,3,male,25.0,1,0,17.8,S,G,2,8.9,0
0,3,male,16.0,0,0,7.225,C,G,1,7.225,0
0,3,male,28.0,0,0,9.5,S,F,1,9.5,0
1,1,female,22.0,0,1,55.0,S,E,2,27.5,0
0,2,female,38.0,0,0,13.0,S,F,1,13.0,0
1,3,female,2.0,0,0,7.8792,Q,G,1,7.8792,0
1,3,female,1.0,0,0,7.8792,Q,G,1,7.8792,0
0,3,male,40.0,1,4,27.9,S,F,6,4.6499999999999995,0
0,2,male,29.0,1,0,27.7208,C,E,1,27.7208,0
0,3,female,45.0,0,1,14.4542,C,F,2,7.2271,0
0,3,male,35.0,0,0,7.05,S,G,1,7.05,0
0,3,male,15.0,1,0,15.5,Q,G,2,7.75,0
0,3,male,30.0,0,0,7.25,S,E,1,7.25,0
1,1,female,60.0,1,0,75.25,C,D,1,75.25,0
1,3,female,20.0,0,0,7.2292,C,E,1,7.2292,0
1,3,female,5.0,0,0,7.75,Q,F,1,7.75,0
1,1,female,24.0,0,0,69.3,C,B,2,34.65,0
1,1,male,25.0,1,0,55.4417,C,E,1,55.4417,0
0,3,male,18.0,1,0,6.4958,S,F,1,6.4958,0
0,3,male,19.0,0,0,8.05,S,E,1,8.05,0
0,1,male,22.0,0,0,135.6333,C,C,3,45.211099999999995,0
0,3,female,3.0,3,1,21.075,S,F,4,5.26875,0
1,1,female,53.0,1,0,82.1708,C,B,2,41.0854,0
1,3,female,22.0,0,0,7.25,S,G,1,7.25,0
0,1,male,27.0,0,2,211.5,C,C,1,211.5,0
0,3,male,20.0,0,0,4.0125,C,G,1,4.0125,0
0,3,male,19.0,0,0,7.775,S,G,1,7.775,0
1,1,female,42.0,0,0,227.525,C,C,4,56.88125,0
1,3,female,1.0,0,2,15.7417,C,G,2,7.87085,0
0,3,male,32.0,0,0,7.925,S,E,1,7.925,0
1,1,female,35.0,1,0,52.0,S,B,2,26.0,0
0,3,male,29.0,0,0,7.8958,S,F,1,7.8958,0
0,2,male,18.0,0,0,73.5,S,F,5,14.7,0
0,3,male,1.0,5,2,46.9,S,F,6,7.816666666666666,0
1,2,female,36.0,0,0,13.0,S,F,1,13.0,0
0,3,male,16.0,0,0,7.7292,Q,F,1,7.7292,0
1,2,female,17.0,0,0,12.0,C,E,1,12.0,0
1,1,male,36.0,1,2,120.0,S,B,4,30.0,0
1,3,male,21.0,0,0,7.7958,S,F,1,7.7958,0
0,3,male,28.0,2,0,7.925,S,G,1,7.925,0
1,1,female,23.0,1,0,113.275,C,D,3,37.75833333333333,0
1,3,female,24.0,0,2,16.7,S,G,2,8.35,0
0,3,male,22.0,0,0,7.7958,S,G,1,7.7958,0
0,3,female,31.0,0,0,7.8542,S,E,1,7.8542,0
0,2,male,46.0,0,0,26.0,S,F,2,13.0,0
0,2,male,23.0,0,0,10.5,S,E,1,10.5,1
1,2,female,28.0,0,0,12.65,S,F,1,12.65,0
1,3,male,39.0,0,0,7.925,S,G,1,7.925,0
0,3,male,26.0,0,0,8.05,S,G,1,8.05,0
0,3,female,21.0,1,0,9.825,S,G,1,9.825,0
0,3,male,28.0,1,0,15.85,S,F,2,7.925,0
0,3,female,20.0,0,0,8.6625,S,F,1,8.6625,0
0,2,male,34.0,1,0,21.0,S,F,1,21.0,0
0,3,male,51.0,0,0,7.75,S,G,1,7.75,0
1,2,male,3.0,1,1,18.75,S,F,3,6.25,0
0,3,male,21.0,0,0,7.775,S,G,1,7.775,0
0,3,female,16.0,3,1,25.4667,S,F,4,6.366675,0
0,3,male,5.0,0,0,7.8958,S,F,1,7.8958,0
0,3,male,2.0,0,0,6.8583,Q,G,1,6.8583,0
1,1,female,33.0,1,0,90.0,Q,C,2,45.0,0
0,2,male,30.0,0,0,0.0,S,F,3,0.0,0
1,3,male,44.0,0,0,7.925,S,E,1,7.925,0
0,3,female,20.0,0,0,8.05,S,F,1,8.05,0
1,2,female,34.0,1,1,32.5,S,E,1,32.5,0
1,2,female,18.0,0,2,13.0,S,E,1,13.0,0
0,2,male,30.0,0,0,13.0,S,E,1,13.0,0
0,3,female,10.0,0,2,24.15,S,F,3,8.049999999999999,0
0,3,male,24.0,0,0,7.8958,C,F,1,7.8958,0
0,3,male,21.0,0,0,7.7333,Q,G,1,7.7333,0
0,3,male,29.0,0,0,7.875,S,G,1,7.875,0
0,3,female,28.0,1,1,14.4,S,E,2,7.2,0
0,3,male,18.0,1,1,20.2125,S,F,2,10.10625,0
0,3,male,34.0,0,0,7.25,S,E,1,7.25,0
1,2,female,28.0,1,0,26.0,S,E,1,26.0,0
1,2,female,19.0,0,0,26.0,S,E,2,13.0,0
0,3,male,9.0,0,0,7.75,Q,F,1,7.75,0
1,3,male,32.0,0,0,8.05,S,E,1,8.05,0
1,1,male,28.0,0,0,26.55,S,C,1,26.55,0
1,3,female,65.0,1,0,16.1,S,F,2,8.05,0
1,2,female,42.0,1,0,26.0,S,D,1,26.0,0
0,3,male,17.0,0,0,7.125,S,F,1,7.125,0
0,1,male,50.0,1,0,55.9,S,E,2,27.95,0
1,1,female,14.0,1,2,120.0,S,B,4,30.0,0
0,3,female,21.0,2,2,34.375,S,F,4,8.59375,0
1,2,female,24.0,2,3,18.75,S,E,3,6.25,0
0,1,male,64.0,1,4,263.0,S,C,4,65.75,0
0,2,male,31.0,0,0,10.5,S,D,1,10.5,0
1,2,female,45.0,1,1,26.25,S,D,3,8.75,0
0,3,male,20.0,0,0,9.5,S,F,1,9.5,0
0,3,male,25.0,1,0,7.775,S,G,1,7.775,0
1,2,female,28.0,0,0,13.0,S,E,1,13.0,0
1,3,male,25.0,0,0,8.1125,S,F,1,8.1125,0
1,1,male,4.0,0,2,81.8583,S,A,1,81.8583,0
1,2,female,13.0,0,1,19.5,S,F,2,9.75,0
